kind	pattern	require_hanja	require_hangul	reason
contains	驟	true	false	rare hanja unfamiliar to general readers
contains	鬱	true	false	rare hanja unfamiliar to general readers
contains	龜	true	false	rare hanja with multiple readings (귀/구/균)
