hanja	hangul	require_hanja	require_hangul
三角形法	삼각형법	false	false
三角形連結	삼각형련결	false	false
三角洲湖	삼각주호	false	false
三角連結	삼각련결	false	false
三角고임天井	삼각고임천정	false	false
三角물림	삼각물림	false	false
三角살	삼각살	false	false
三角천	삼각천	false	false
三輪	삼륜	false	false
三重式壓延機	삼중식압연기	false	false
三重經過音	삼중경과음	false	false
三針繡	삼침수	false	false
三香	삼향	false	false
三點發振器	삼점발진기	false	false
三點邊	삼점변	false	false
三결이婚	삼결이혼	false	false
三도리깨	삼도리깨	false	false
三도리깨질	삼도리깨질	false	false
三도리깨질하다	삼도리깨질하다	false	false
三발	삼발	false	false
三송곳채찍벌레	삼송곳채찍벌레	false	false
三치집	삼치집	false	false
三탈이	삼탈이	false	false
上上峯	상상봉	false	false
上下針	상하침	false	false
上佐	상좌	false	false
上價	상가	false	false
上元郡	상원군	false	false
上回轉	상회전	false	false
上士	상사	false	false
上天癡	상천치	false	false
上學場	상학장	false	false
上學組	상학조	false	false
上將	상장	false	false
上尉	상위	false	false
上導音	상도음	false	false
上層前線帶	상층전선대	false	false
上層構造	상층구조	false	false
上層火	상층화	false	false
上層統一	상층통일	false	false
上層統一戰線	상층통일전선	false	false
上層골	상층골	false	false
上屬音	상속음	false	false
上昇法	상승법	false	false
上昇뒤집기	상승뒤집기	false	false
上架工	상가공	false	false
上架線	상가선	false	false
上穀	상곡	false	false
上等兵	상등병	false	false
上等손님	상등손님	false	false
上筍	상순	false	false
上級寢臺	상급침대	false	false
上級寢臺車	상급침대차	false	false
上級敎員	상급교원	false	false
上級車	상급차	false	false
上級車票	상급차표	false	false
上級車칸	상급차칸	false	false
上級電話	상급전화	false	false
上經過	상경과	false	false
上綴	상철	false	false
上緋緞	상비단	false	false
上膊三頭筋	상박삼두근	false	false
上膊關節	상박관절	false	false
上船機	상선기	false	false
上苦役	상고역	false	false
上菽麥이	상숙맥이	false	false
上視丘	상시구	false	false
上農軍	상농군	false	false
上針저고리	상침저고리	false	false
上陸輸送船	상륙수송선	false	false
上陸隊	상륙대	false	false
上顎洞鏡	상악동경	false	false
上風	상풍	false	false
上飮食	상음식	false	false
上값	상값	false	false
上고기	상고기	false	false
上군	상군	false	false
上그네	상그네	false	false
上껏	상껏	false	false
上껏해야	상껏해야	false	false
上나물	상나물	false	false
上머슴군	상머슴군	false	false
上씨름군	상씨름군	false	false
上아지	상아지	false	false
上어리	상어리	false	false
上일군	상일군	false	false
上틀	상틀	false	false
下位植物	하위식물	false	false
下低氣壓	하저기압	false	false
下價	하가	false	false
下價되다	하가되다	false	false
下價하다	하가하다	false	false
下列	하렬	false	false
下劣하다	하렬하다	false	false
下劣히	하렬히	false	false
下勾配	하구배	false	false
下半年	하반년	false	false
下向採掘	하향채굴	false	false
下土半徑	하토반경	false	false
下土높이	하토높이	false	false
下導音	하도음	false	false
下小하다	하소하다	false	false
下小히	하소히	false	false
下層火	하층화	false	false
下層統一	하층통일	false	false
下屬機能	하속기능	false	false
下席	하석	false	false
下忱	하침	false	false
下攻	하공	false	false
下攻하다	하공하다	false	false
下敢不上	하감불상	false	false
下林木	하림목	false	false
下流世俗	하류세속	false	false
下綴	하철	false	false
下綴하다	하철하다	false	false
下處	하처	false	false
下處房	하처방	false	false
下處하다	하처하다	false	false
下行導音	하행도음	false	false
下行군	하행군	false	false
下車界線	하차계선	false	false
下農軍	하농군	false	false
下降制動機	하강제동기	false	false
下降導音	하강도음	false	false
下降泉	하강천	false	false
下隷	하예	false	false
下공靜脈	하공정맥	false	false
下길	하길	false	false
下바닥	하바닥	false	false
下바닥쇠	하바닥쇠	false	false
不一致規定語	불일치규정어	false	false
不了義	불료의	false	false
不了義하다	불료의하다	false	false
不交感	불교감	false	false
不似하다	불사하다	false	false
不充實하다	불충실하다	false	false
不動反射	부동반사	false	false
不動産抵當	부동산저당	false	false
不勝其樂	불승기락	false	false
不勝嗚咽	불승오열	false	false
不勝嗚咽하다	불승오열하다	false	false
不勝堪當하다	불승감당하다	false	false
不勝醉興	불승취흥	false	false
不勤實하다	불근실하다	false	false
不協和和音	불협화화음	false	false
不反結合體系	부반결합체계	false	false
不可克服	불가극복	false	false
不可制勝하다	불가제승하다	false	false
不可妥協	불가타협	false	false
不可妥協性	불가타협성	false	false
不可妥協하다	불가타협하다	false	false
不可讓渡하다	불가양도하다	false	false
不均性	불균성	false	false
不堅固하다	불견고하다	false	false
不夜場	불야장	false	false
不如福將	불여복장	false	false
不安定和音	불안정화음	false	false
不安定小節	불안정소절	false	false
不安定常數	불안정상수	false	false
不安定臨界循環	불안정림계순환	false	false
不完了態	불완료태	false	false
不完全互換性	불완전호환성	false	false
不完全互換方法	불완전호환방법	false	false
不完全分解	불완전분해	false	false
不完全文	불완전문	false	false
不完全流産	불완전류산	false	false
不完全燒鈍	불완전소둔	false	false
不完全錐孔	불완전추공	false	false
不完全鎔着	불완전용착	false	false
不完全큰피줄轉位	불완전큰피줄전위	false	false
不定形	부정형	false	false
不容不然	불용불연	false	false
不屈無變하다	불굴무변하다	false	false
不平질	불평질	false	false
不幸事	불행사	false	false
不得眠	부득면	false	false
不怠하다	불태하다	false	false
不意性	불의성	false	false
不意打擊	불의타격	false	false
不意打擊하다	불의타격하다	false	false
不意行動	불의행동	false	false
不意行動하다	불의행동하다	false	false
不憚하다	불탄하다	false	false
不支拂勞動	부지불로동	false	false
不攻自破	불공자파	false	false
不攻自破하다	불공자파하다	false	false
不易差	불역차	false	false
不服控訴	불복공소	false	false
不榮譽	불영예	false	false
不榮譽스럽다	불영예스럽다	false	false
不死鳥	불사조	false	false
不毛家庭	불모가정	false	false
不氣味	불기미	false	false
不法無效	불법무효	false	false
不法無效하다	불법무효하다	false	false
不法다치기	불법다치기	false	false
不洗掘流速	불세굴류속	false	false
不淨木	부정목	false	false
不無靈驗하다	불무령험하다	false	false
不熟米	불숙미	false	false
不申告犯	불신고범	false	false
不當千萬하다	부당천만하다	false	false
不確乎하다	불확호하다	false	false
不稔性	불념성	false	false
不等速度	부등속도	false	false
不純異色分子	불순이색분자	false	false
不老酒	불로주	false	false
不肖女息	불초녀식	false	false
不良者	부량자	false	false
不良하다	부량하다	false	false
不規	불규	false	false
不規則變化	불규칙변화	false	false
不變債務	불변채무	false	false
不變費	불변비	false	false
不賢하다	불현하다	false	false
不足近似값	부족근사값	false	false
不辜	불고	false	false
不通	불통	false	false
不通하다	불통하다	false	false
不逞團體	불령단체	false	false
不連續	불련속	false	false
不連續層	불련속층	false	false
不連續性	불련속성	false	false
不連續操縱體系	불련속조종체계	false	false
不連續褶曲構造	불련속습곡구조	false	false
不連續面	불련속면	false	false
不遜스럽다	불손스럽다	false	false
不遠코	불원코	false	false
不避코	불피코	false	false
不顧利害	불고리해	false	false
世上物理	세상물리	false	false
世上苦	세상고	false	false
世上맛	세상맛	false	false
世上영문	세상영문	false	false
世代共同體	세대공동체	false	false
世代量	세대량	false	false
世俗凡人	세속범인	false	false
世俗티	세속티	false	false
世儒	세유	false	false
世宗譜	세종보	false	false
世層	세층	false	false
世帶主	세대주	false	false
世態民謠	세태민요	false	false
世態童謠	세태동요	false	false
世界靑年學生祝典	세계청년학생축전	false	false
世祖譜	세조보	false	false
丘陵性景觀	구릉성경관	false	false
丙部給水管	병부급수관	false	false
中	중	false	false
中三門	중삼문	false	false
中丹靑	중단청	false	false
中交代	중교대	false	false
中代거리	중대거리	false	false
中伏물	중복물	false	false
中佐	중좌	false	false
中動	중동	false	false
中動相	중동상	false	false
中口徑高射砲	중구경고사포	false	false
中合杖	중합장	false	false
中和基	중화기	false	false
中和貯水池	중화저수지	false	false
中國猿人	중국원인	false	false
中央主權機關	중앙주권기관	false	false
中央人民委員會	중앙인민위원회	false	false
中央大學	중앙대학	false	false
中央工業	중앙공업	false	false
中央年鑑	중앙년감	false	false
中央政權	중앙정권	false	false
中央政權機關	중앙정권기관	false	false
中央新聞	중앙신문	false	false
中央標識點	중앙표식점	false	false
中央檢察所	중앙검찰소	false	false
中央熱暖房	중앙열난방	false	false
中央級	중앙급	false	false
中央通信	중앙통신	false	false
中央防禦手	중앙방어수	false	false
中央集中的純所得	중앙집중적순소득	false	false
中央電動式濃縮機	중앙전동식농축기	false	false
中央돌무지	중앙돌무지	false	false
中奚琴	중해금	false	false
中實	중실	false	false
中寫畫面	중사화면	false	false
中層찬물	중층찬물	false	false
中帶길	중대길	false	false
中幕	중막	false	false
中微	중미	false	false
中心中部	중심중부	false	false
中心力마당	중심력마당	false	false
中心巧藝	중심교예	false	false
中心強土	중심강토	false	false
中心攻擊手	중심공격수	false	false
中心木	중심목	false	false
中心機關	중심기관	false	false
中心相似	중심상사	false	false
中心누름部材	중심누름부재	false	false
中心닮음	중심닮음	false	false
中心당김部材	중심당김부재	false	false
中心잡이	중심잡이	false	false
