hanja	hangul	require_hanja	require_hangul
伏달더우	복달더우	false	false
伏대리미	복대리미	false	false
伏댈임	복댈임	false	false
伏더우	복더우	false	false
伏더이	복더이	false	false
伯男	백남	false	false
伯세	백세	false	false
低헬압	저헬압	false	false
作人	작인	false	false
作斤하다	작근하다	false	false
使者맥이	사자맥이	false	false
來내멩년	내내멩년	false	false
來후연	내후연	false	false
依支암지하다	의지암지하다	false	false
保溫벵	보온벵	false	false
信防독	신방독	false	false
修筒벵이	수통벵이	false	false
俸給재이	봉급재이	false	false
候災	후재	false	false
倨慢시레	거만시레	false	false
倨慢시룹다	거만시룹다	false	false
倭布	왜포	false	false
倭醬	왜장	false	false
倭감자	왜감자	false	false
倭감재	왜감재	false	false
倭국시	왜국시	false	false
倭뇜	왜뇜	false	false
倭눔	왜눔	false	false
倭무꾸	왜무꾸	false	false
倭베	왜베	false	false
倭솟	왜솟	false	false
倭잿물	왜잿물	false	false
倭쟁기	왜쟁기	false	false
倭총	왜총	false	false
倭콩	왜콩	false	false
假수어	가수어	false	false
假째	가째	false	false
偌甚시리	야심시리	false	false
偵察벵	정찰벵	false	false
偶石묵	우석묵	false	false
傲慢시룹다	오만시룹다	false	false
億萬장재	억만장재	false	false
優等상	우등상	false	false
元머리	원머리	false	false
元상	원상	false	false
元수지	원수지	false	false
元처	원처	false	false
先보롬	선보롬	false	false
內四寸	내사촌	false	false
內從사춘	내종사춘	false	false
內도리	내도리	false	false
內사춘	내사춘	false	false
全數	전수	false	false
全純히	전순히	false	false
全體바꿈	전체바꿈	false	false
全내이	전내이	false	false
全여	전여	false	false
全히	전히	false	false
全히나	전히나	false	false
兩班치다	양반치다	false	false
兩날멘도	양날멘도	false	false
兩짝	양짝	false	false
兩착	양착	false	false
八包태산	팔포태산	false	false
八包태생	팔포태생	false	false
八字치리	팔자치리	false	false
八月大보룸	팔월대보룸	false	false
八月가우	팔월가우	false	false
八朔뎅이	팔삭뎅이	false	false
八朔됭이	팔삭됭이	false	false
八朔뒝이	팔삭뒝이	false	false
八角지둥	팔각지둥	false	false
八모지둥	팔모지둥	false	false
八부	팔부	false	false
八푼	팔푼	false	false
八풍이	팔풍이	false	false
六壽馬	육수마	false	false
六壽매	육수매	false	false
六尺長身	육척장신	false	false
六旬잔치	육순잔치	false	false
六甲七甲	육갑칠갑	false	false
六가래기	육가래기	false	false
六날	육날	false	false
六날미투리	육날미투리	false	false
六날배기	육날배기	false	false
六날신	육날신	false	false
六소이	육소이	false	false
共同山	공동산	false	false
共同葬	공동장	false	false
共同뫼지	공동뫼지	false	false
共同무지	공동무지	false	false
冊床褓재기	책상보재기	false	false
冊床대리	책상대리	false	false
冊褓재기	책보재기	false	false
冊가오리	책가오리	false	false
冊거불	책거불	false	false
冊거풀	책거풀	false	false
冊게	책게	false	false
冊괴	책괴	false	false
冊귀	책귀	false	false
冊기	책기	false	false
冊까풀	책까풀	false	false
冊꼬재이	책꼬재이	false	false
冊꽂개	책꽂개	false	false
冊꽂이	책꽂이	false	false
冊다르미	책다르미	false	false
冊다리미	책다리미	false	false
冊둪개	책둪개	false	false
冊따까이	책따까이	false	false
冊따깨비	책따깨비	false	false
冊따꿍	책따꿍	false	false
冊뚜꺼비	책뚜꺼비	false	false
冊뚜께	책뚜께	false	false
冊버러지	책버러지	false	false
冊벌거지	책벌거지	false	false
冊벌기	책벌기	false	false
再種	재종	false	false
再거리	잿거리	false	false
再벌서답	재벌서답	false	false
再불	재불	false	false
再후멩년	재후멩년	false	false
冠帶옷	관대옷	false	false
冬至슫달	동지슫달	false	false
冬至퐅粥	동지퐅죽	false	false
冶匠아치	야장아치	false	false
冶시럽다	야시럽다	false	false
冶쟁이	야쟁이	false	false
冷情시리	냉정시리	false	false
冷房벵	냉방벵	false	false
冷麵	냉면	false	false
冷가시미	냉가시미	false	false
冷가심	냉가심	false	false
冷굴	냉굴	false	false
冷차다	냉차다	false	false
冷타랑	냉타랑	false	false
凡於일	범엇일	false	false
出貰하다	출세하다	false	false
函애비	함애비	false	false
函잽이	함잽이	false	false
分水지기	분수지기	false	false
分없다	분없다	false	false
分짓	분짓	false	false
初場거리	초장거리	false	false
初星	초성	false	false
初星별	초성별	false	false
初疾	초질	false	false
初瘧疾	초학질	false	false
初瘧빙	초학빙	false	false
初瘧터러기	초학터러기	false	false
初祭날	초젯날	false	false
初行질	초행질	false	false
初豆腐	초두부	false	false
初가슭	초가슭	false	false
初가실	초가실	false	false
初가싥	초가싥	false	false
初가읅	초가읅	false	false
初각	초각	false	false
初갈이	초갈이	false	false
初갉	초갉	false	false
初게울	초게울	false	false
初나으레	초나으레	false	false
初나으렛날	초나으렛날	false	false
初나을	초나을	false	false
初나조	초나조	false	false
初나핟날	초나핟날	false	false
初나흐렛날	초나흐렛날	false	false
初낟날	초낟날	false	false
初날	초날	false	false
初니레	초니레	false	false
初니렛날	초니렛날	false	false
初다디기	초다디기	false	false
初다딤	초다딤	false	false
初다딤이	초다딤이	false	false
初다딤이질	초다딤이질	false	false
初다딤이질하다	초다딤이질하다	false	false
初다딤이하다	초다딤이하다	false	false
初닷쉐	초닷쉐	false	false
初닷쉣날	초닷쉣날	false	false
初댓새	초댓새	false	false
初디비	초디비	false	false
初떼기	초떼기	false	false
初띠기	초띠기	false	false
初물	초물	false	false
初벌꾸이	초벌꾸이	false	false
初벌쟁기질	초벌쟁기질	false	false
初보름	초보름	false	false
初본장	초본장	false	false
初볼	초볼	false	false
初불	초불	false	false
初불갈이	초불갈이	false	false
初불검질	초불검질	false	false
初불논매기	초불논매기	false	false
初불빨래	초불빨래	false	false
初불빨레	초불빨레	false	false
初불서답	초불서답	false	false
初불잽이	초불잽이	false	false
初사으레	초사으레	false	false
初사으렛날	초사으렛날	false	false
初사을	초사을	false	false
初아으레	초아으레	false	false
初아으렛날	초아으렛날	false	false
初아진	초아진	false	false
初아침	초아침	false	false
初여디레	초여디레	false	false
初여디렛날	초여디렛날	false	false
初열으레	초열으레	false	false
初열을	초열을	false	false
初옛새	초옛새	false	false
初이르	초이르	false	false
初이릇날	초이릇날	false	false
初이리	초이리	false	false
初이릿날	초이릿날	false	false
初일레	초일레	false	false
初일렛날	초일렛날	false	false
初일뤠	초일뤠	false	false
初일뤳날	초일뤳날	false	false
初저낙	초저낙	false	false
初저냑	초저냑	false	false
初저넉	초저넉	false	false
初저녁별	초저녁별	false	false
初저녁샛별	초저녁샛별	false	false
初저역별	초저역별	false	false
初저울	초저울	false	false
初저욹	초저욹	false	false
初절	초절	false	false
初즈낙	초즈낙	false	false
初즈녁	초즈녁	false	false
初지낙벨	초지낙벨	false	false
初지냑	초지냑	false	false
初지녁	초지녁	false	false
初지녁별	초지녁별	false	false
初지약	초지약	false	false
初지역	초지역	false	false
初하레	초하레	false	false
初하레보름	초하레보름	false	false
初하로보름	초하로보름	false	false
初하루보롬	초하루보롬	false	false
初하루보름	초하루보름	false	false
初하르	초하르	false	false
初하를	초하를	false	false
初하리	초하리	false	false
初하리보름	초하리보름	false	false
初하릿날	초하릿날	false	false
初할루	초할루	false	false
初할룻날	초할룻날	false	false
初호로보롬	초호로보롬	false	false
初호루	초호루	false	false
初호루보름	초호루보름	false	false
判금사	판금사	false	false
別味없다	별미없다	false	false
別낳다	별낳다	false	false
別루	별루	false	false
別시리	별시리	false	false
到付장사	도부장사	false	false
到末	도말	false	false
前脚	전각	false	false
前아리	전아리	false	false
副	부	false	false
副헤장	부헤장	false	false
劇團牌	극단패	false	false
功딜이다	공딜이다	false	false
功초새	공초새	false	false
功투세	공투세	false	false
勞困勞困	노곤노곤	false	false
化粧틀	화장틀	false	false
北太	북태	false	false
北間	북간	false	false
北魚明太	북어명태	false	false
北넉	북넉	false	false
北쩡	북쩡	false	false
北쭉	북쭉	false	false
北케짝	북케짝	false	false
十字길	십잣길	false	false
十字질	십자질	false	false
千날萬날	천날만날	false	false
半種	반종	false	false
半거챙이	반거챙이	false	false
半거치기	반거치기	false	false
半걸칭이	반걸칭이	false	false
半걸티이	반걸티이	false	false
半겡일	반겡일	false	false
半굉일	반굉일	false	false
半꼬시레이	반꼬시레이	false	false
半나잘	반나잘	false	false
半나질	반나질	false	false
半놈이	반놈이	false	false
半늘기이	반늘기이	false	false
半달손텁	반달손텁	false	false
半독박	반독박	false	false
半돔박	반돔박	false	false
半동가리	반동가리	false	false
半동가리처매	반동가리처매	false	false
半들물	반들물	false	false
半또막	반또막	false	false
半똥가리	반똥가리	false	false
半뚜막	반뚜막	false	false
半미칭개이	반미칭개이	false	false
半버버리	반버버리	false	false
半버부리	반버부리	false	false
半벙치	반벙치	false	false
半벵신	반벵신	false	false
半봉새	반봉새	false	false
半봉어리	반봉어리	false	false
半부칭이	반부칭이	false	false
半빙시이	반빙시이	false	false
半빙신	반빙신	false	false
半섺이	반섺이	false	false
半시끼	반시끼	false	false
半싞이	반싞이	false	false
半쑤봉	반쑤봉	false	false
半쓰봉	반쓰봉	false	false
半이사	반이사	false	false
半절	반절	false	false
半주봉	반주봉	false	false
半주우	반주우	false	false
半중우	반중우	false	false
半지기	반지기	false	false
半짜가리	반짜가리	false	false
半쪼가리	반쪼가리	false	false
